path	primary_subsystem	change_scope	conflict_risk	niffler_status	niffler_provenance	niffler_feature_clusters	niffler_report_section	aether_status	aether_provenance	aether_feature_clusters	aether_report_section	final_equal	niffler_to_aether_status	coverage_state
.dockerignore	delivery_operations	niffler_only	medium	M	mapped	branding_foundation:1	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
.env.example	delivery_operations	both_changed_diverged	high	M	mapped	branding_foundation:1,release_deployment_operations:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	auth_security_privacy:3,data_sql_storage:2,integration_merge:9,provider_oauth_management:1,runtime_performance:4,stream_failover_timing:1,tunnel_delivery_operations:3	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
.github/workflows/app-image.yml	delivery_operations	niffler_only	medium	A	mapped	integration_merge:10,model_catalog_aliases:1,public_site_image_tools:1,release_deployment_operations:12,testing_ci_build:1,usage_accounting_observability:1	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	D	mapped
.github/workflows/build-tunnel.yml	delivery_operations	both_changed_diverged	high	M	mapped	branding_foundation:1,testing_ci_build:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	integration_merge:3,testing_ci_build:1	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
.github/workflows/deploy-pages.yml	delivery_operations	niffler_only	medium	M	mapped	testing_ci_build:1	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
.github/workflows/deploy-production.yml	delivery_operations	niffler_only	medium	A	mapped	integration_merge:1,release_deployment_operations:1	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	D	mapped
.github/workflows/frontend-ci.yml	delivery_operations	niffler_only	medium	A	mapped	integration_merge:1,release_deployment_operations:1	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	D	mapped
.github/workflows/promotion-policy.yml	delivery_operations	niffler_only	medium	A	mapped	integration_merge:2,release_deployment_operations:1	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	D	mapped
.github/workflows/release-tooling-ci.yml	delivery_operations	niffler_only	medium	A	mapped	integration_merge:4,release_deployment_operations:4	03-niffler-customizations.md#8-发布生产监控和一次性工具		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	D	mapped
.github/workflows/release.yml	delivery_operations	both_changed_diverged	high	M	mapped	release_deployment_operations:2,testing_ci_build:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	data_sql_storage:1,integration_merge:7,tunnel_delivery_operations:2	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
.github/workflows/rust-ci.yml	delivery_operations	both_changed_diverged	high	M	mapped	billing_plans_wallet_payments:1,integration_merge:5,release_deployment_operations:2,usage_accounting_observability:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	integration_merge:7,openai_codex_responses:1,stream_failover_timing:1,testing_ci_build:4,workspace_architecture:1	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
.gitignore	repository_other	both_changed_diverged	high	M	mapped	branding_foundation:2,integration_merge:4,platform_bundle_20260803:1,public_site_image_tools:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	data_sql_storage:1,integration_merge:5,provider_oauth_management:1	04-aether-upstream-updates.md#3-p0分层架构与数据层	no	M	mapped
Cargo.lock	build_dependencies	both_changed_diverged	high	M	mapped	codex_responses_images:1,grok_oauth:1,integration_merge:3,usage_accounting_observability:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	admin_backup_notifications:1,billing_wallet_payments:2,data_sql_storage:1,integration_merge:22,openai_codex_responses:2,provider_oauth_management:1,provider_request_runtime:1,runtime_performance:5,testing_ci_build:1,tunnel_delivery_operations:7,workspace_architecture:1	04-aether-upstream-updates.md#3-p0分层架构与数据层	no	M	mapped
Cargo.toml	build_dependencies	both_changed_diverged	high	M	mapped	branding_foundation:1,integration_merge:1,usage_accounting_observability:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	admin_backup_notifications:1,integration_merge:13,openai_codex_responses:1,runtime_performance:3,tunnel_delivery_operations:2,workspace_architecture:1	04-aether-upstream-updates.md#3-p0分层架构与数据层	no	M	mapped
Dockerfile.app	delivery_operations	both_changed_diverged	high	M	mapped	integration_merge:1,release_deployment_operations:2,usage_accounting_observability:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	auth_security_privacy:1,integration_merge:5,tunnel_delivery_operations:3	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
Dockerfile.app.local	delivery_operations	both_changed_diverged	high	M	mapped	branding_foundation:1,release_deployment_operations:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	integration_merge:6,runtime_performance:1,testing_ci_build:1,tunnel_delivery_operations:2	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	M	mapped
Dockerfile.app.release-local	delivery_operations	aether_only	low		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#8-发布生产监控和一次性工具	A	mapped	integration_merge:3,runtime_performance:1,tunnel_delivery_operations:2	04-aether-upstream-updates.md#7-p1p2后台通知备份隧道与更新	no	A	mapped
LICENSE	documentation	niffler_only	medium	M	mapped	branding_foundation:1	03-niffler-customizations.md#阅读说明		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#阅读说明	no	M	mapped
Makefile	build_dependencies	aether_only	low		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	integration_merge:3,other_provider_protocols:1	04-aether-upstream-updates.md#3-p0分层架构与数据层	no	M	mapped
README.md	documentation	both_changed_diverged	high	M	mapped	billing_plans_wallet_payments:3,branding_foundation:2,integration_merge:2,public_site_image_tools:1,release_deployment_operations:2	03-niffler-customizations.md#阅读说明	M	mapped	auth_security_privacy:2,data_sql_storage:1,integration_merge:7,openai_codex_responses:1,runtime_performance:2,stream_failover_timing:1,testing_ci_build:1,tunnel_delivery_operations:2	04-aether-upstream-updates.md#阅读说明	no	M	mapped
apps/aether-gateway/Cargo.toml	build_dependencies	both_changed_diverged	high	M	mapped	branding_foundation:1,codex_responses_images:1,integration_merge:1	03-niffler-customizations.md#8-发布生产监控和一次性工具	M	mapped	admin_backup_notifications:1,billing_wallet_payments:2,integration_merge:12,runtime_performance:3,tunnel_delivery_operations:2,workspace_architecture:1	04-aether-upstream-updates.md#3-p0分层架构与数据层	no	M	mapped
apps/aether-gateway/build.rs	gateway_other	aether_only	low		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#总览	M	mapped	integration_merge:4,tunnel_delivery_operations:2	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/prompts/managed/adult_fiction_v1.md	gateway_other	niffler_only	medium	A	mapped	integration_merge:1,managed_prompts_groups:1	03-niffler-customizations.md#总览		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	D	mapped
apps/aether-gateway/prompts/managed/core_v1.md	gateway_other	niffler_only	medium	A	mapped	integration_merge:1,managed_prompts_groups:1	03-niffler-customizations.md#总览		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	D	mapped
apps/aether-gateway/prompts/managed/core_v2.md	gateway_other	niffler_only	medium	A	mapped	integration_merge:2,managed_prompts_groups:1	03-niffler-customizations.md#总览		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	D	mapped
apps/aether-gateway/prompts/managed/security_research_v1.md	auth_security	niffler_only	high	A	mapped	integration_merge:1,managed_prompts_groups:1	03-niffler-customizations.md#3-provideroauth客户端兼容和模型目录		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#5-p1鉴权安全和隐私	no	D	mapped
apps/aether-gateway/prompts/managed/security_research_v2.md	auth_security	niffler_only	high	A	mapped	integration_merge:2,managed_prompts_groups:1	03-niffler-customizations.md#3-provideroauth客户端兼容和模型目录		not_changed_on_branch	base_only_or_merge_only	04-aether-upstream-updates.md#5-p1鉴权安全和隐私	no	D	mapped
apps/aether-gateway/src/admin_api.rs	gateway_other	both_changed_diverged	high	M	mapped	integration_merge:2,public_site_image_tools:1	03-niffler-customizations.md#总览	M	mapped	admin_backup_notifications:1,integration_merge:3	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/adaptation/private_envelope/sync.rs	gateway_other	aether_only	low		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#总览	M	mapped	gemini_antigravity_protocol:1,integration_merge:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/api.rs	gateway_other	both_changed_diverged	high	M	mapped	codex_responses_images:1,integration_merge:2,managed_prompts_groups:1,release_deployment_operations:1,stream_failover_timing:1	03-niffler-customizations.md#总览	M	mapped	integration_merge:7,other_provider_protocols:2,provider_request_runtime:1,runtime_performance:1,workspace_architecture:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/finalize/internal/stream_rewrite.rs	stream_execution	aether_only	high		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#4-codexresponses图片与流式执行	M	mapped	integration_merge:1,openai_codex_responses:1,stream_failover_timing:1	04-aether-upstream-updates.md#2-p0流式故障切换和耗时口径	no	M	mapped
apps/aether-gateway/src/ai_serving/finalize/tests_stream.rs	gateway_other	aether_only	low		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#总览	M	mapped	claude_protocol:1,integration_merge:3,provider_request_runtime:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/finalize/tests_sync.rs	gateway_other	both_changed_diverged	high	M	mapped	codex_responses_images:1,integration_merge:1	03-niffler-customizations.md#总览	M	mapped	gemini_antigravity_protocol:1,integration_merge:8,openai_codex_responses:1,provider_request_runtime:1,stream_failover_timing:1,testing_ci_build:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/mod.rs	gateway_other	both_changed_diverged	high	M	mapped	billing_plans_wallet_payments:1,codex_responses_images:3,integration_merge:3,provider_pool_management:1	03-niffler-customizations.md#总览	M	mapped	integration_merge:7,openai_codex_responses:2,provider_request_runtime:1,routing_scheduler:1,workspace_architecture:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/antigravity.rs	routing_scheduler	aether_only	high		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#2-niffler-core	A	mapped	gemini_antigravity_protocol:1,integration_merge:2,provider_request_runtime:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	A	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_affinity_cache.rs	routing_scheduler	aether_only	high		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#2-niffler-core	M	mapped	integration_merge:2,routing_scheduler:1,runtime_performance:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_materialization.rs	routing_scheduler	both_changed_diverged	critical	M	mapped	billing_plans_wallet_payments:1,branding_foundation:1,codex_responses_images:1,integration_merge:3	03-niffler-customizations.md#2-niffler-core	M	mapped	gemini_antigravity_protocol:1,integration_merge:10,openai_codex_responses:3,provider_oauth_management:1,provider_request_runtime:1,routing_scheduler:2,runtime_performance:3	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_metadata.rs	routing_scheduler	aether_only	high		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#2-niffler-core	M	mapped	gemini_antigravity_protocol:1,integration_merge:4,openai_codex_responses:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_preparation.rs	routing_scheduler	aether_only	high		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#2-niffler-core	M	mapped	gemini_antigravity_protocol:1,integration_merge:4,openai_codex_responses:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_ranking.rs	routing_scheduler	aether_only	high		not_changed_on_branch	base_only_or_merge_only	03-niffler-customizations.md#2-niffler-core	M	mapped	integration_merge:6,openai_codex_responses:1,routing_scheduler:2,runtime_performance:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_resolution.rs	routing_scheduler	both_changed_diverged	critical	M	mapped	billing_plans_wallet_payments:1,integration_merge:3	03-niffler-customizations.md#2-niffler-core	M	mapped	gemini_antigravity_protocol:1,integration_merge:4,openai_codex_responses:1,runtime_performance:1	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
apps/aether-gateway/src/ai_serving/planner/candidate_source.rs	routing_scheduler	both_changed_diverged	critical	M	mapped	billing_plans_wallet_payments:2,branding_foundation:1,integration_merge:4,managed_prompts_groups:1,niffler_core_migration:1	03-niffler-customizations.md#2-niffler-core	M	mapped	auth_security_privacy:1,billing_wallet_payments:1,integration_merge:10,openai_codex_responses:3,routing_scheduler:3,runtime_performance:3	04-aether-upstream-updates.md#1-p0运行稳定性和性能	no	M	mapped
